year,state_fips,state_abbr,state_name,population_total,population_adult_18_plus,population_male,population_female,education_bachelors_or_higher_25_plus,race_white_alone,race_black_alone,race_asian_alone,ethnicity_hispanic_or_latino,ethnicity_not_hispanic_or_latino,population_density_per_sq_mile
1996,37,NC,North Carolina,6646200.0,,,,,,,,,,136.70270893997704
1996,38,ND,North Dakota,719900.0,,,,,,,,,,10.433212368552248
1996,39,OH,Ohio,11846200.0,,,,,,,,,,289.9167879935459
1996,40,OK,Oklahoma,3040100.0,,,,,,,,,,44.31960850745216
1996,41,OR,Oregon,3372600.0,,,,,,,,,,35.13563829482453
1996,42,PA,Pennsylvania,11461600.0,,,,,,,,,,256.1669277893377
1996,44,RI,Rhode Island,1054200.0,,,,,,,,,,1019.7231599616952
1996,45,SC,South Carolina,3123900.0,,,,,,,,,,103.9197357346968
1996,46,SD,South Dakota,822500.0,,,,,,,,,,10.849349039057657
1996,47,TN,Tennessee,5356900.0,,,,,,,,,,129.91179801575848
1996,48,TX,Texas,13956700.0,,,,,,,,,,53.426515486959836
1996,49,UT,Utah,3454800.0,,,,,,,,,,42.04473624193467
1996,50,VT,Vermont,635400.0,,,,,,,,,,68.94037536374348
1996,51,VA,Virginia,6041500.0,,,,,,,,,,152.98774958476926
1996,53,WA,Washington,5620300.0,,,,,,,,,,84.57235757089855
1996,54,WV,West Virginia,1920100.0,,,,,,,,,,79.8769958328844
1996,55,WI,Wisconsin,4907400.0,,,,,,,,,,90.61298649502011
1996,56,WY,Wyoming,539300.0,,,,,,,,,,5.554460387211702
2000,01,AL,Alabama,4447100.0,3190931.0,2146504.0,2300596.0,549608.0,4402921.0,3162808.0,22430.0,75830.0,4371270.0,87.80868838252213
2000,02,AK,Alaska,626932.0,418815.0,324112.0,302820.0,93807.0,592786.0,434534.0,98043.0,25852.0,601080.0,1.098645304021732
2000,04,AZ,Arizona,5130632.0,3612444.0,2561057.0,2569575.0,766212.0,4984106.0,3873611.0,255879.0,1295617.0,3835015.0,45.16636782480214
2000,05,AR,Arkansas,2673400.0,1912891.0,1304693.0,1368707.0,288428.0,2637656.0,2138598.0,17808.0,86866.0,2586534.0,51.37648389137565
2000,06,CA,California,33871648.0,23637077.0,16874892.0,16996756.0,5669966.0,32264002.0,20170059.0,333346.0,10966556.0,22905092.0,217.43367311763404
2000,08,CO,Colorado,4301261.0,3076593.0,2165983.0,2135278.0,907755.0,4179074.0,3560005.0,44241.0,735601.0,3565660.0,41.50118258167619
2000,09,CT,Connecticut,3405565.0,2479863.0,1649319.0,1756246.0,720994.0,3330717.0,2780355.0,9639.0,320323.0,3085242.0,703.2862075516897
2000,10,DE,Delaware,783600.0,565350.0,380541.0,403059.0,128917.0,770567.0,584773.0,2731.0,37277.0,746323.0,402.14724870929007
